Player Name,Team,Owner,Total Points,Player Value,Playing Role,Matches Played,C/VC Matches,C/VC Points
Abhishek Sharma,India,Asif,0,3000,Batter,0,,
Akeal Hosein,West Indies,Asif,0,240,Bowler,0,,
Andries Gous,USA,Asif,0,520,Batter,0,,
Darwish Rasooli,Afghanistan,Asif,0,400,Batter,0,,
Dushmantha Chameera,Srilanka,Asif,0,420,Bowler,0,,
Harry Tector,Ireland,Asif,0,50,Batter,0,,
Harshit Rana,India,Asif,0,650,Bowler,0,,
Johnson Charles,West Indies,Asif,0,260,Batter,0,,
Louren Steenkamp,Namibia,Asif,0,200,Batter,0,,
Matthew Renshaw,Australia,Asif,0,200,Batter,0,,
Milind Kumar,USA,Asif,0,50,All-rounder,0,,
Naseem Shah,Pakistan,Asif,0,200,Bowler,0,,
Quinton de Kock,South Africa,Asif,0,1450,Wicket-keeper,0,,
Saim Ayub,Pakistan,Asif,0,1350,Batter,0,,
Tom Banton,England,Asif,0,800,Wicket-keeper,0,,
Wellington Masakadza,Zimbabwe,Asif,0,210,Bowler,0,,
Anrich Nortje,South Africa,Johnson,0,1300,Bowler,0,,
Brian Bennett,Zimbabwe,Johnson,0,270,All-rounder,0,,
Fakhar Zaman,Pakistan,Johnson,0,610,Batter,0,,
Gerhard Erasmus,Namibia,Johnson,0,50,Captain/All-rounder,0,,
Harry Brook,England,Johnson,0,790,Captain/Batter,0,,
Kuldeep Yadav,India,Johnson,0,200,Bowler,0,,
Kusal Janith Perera,Srilanka,Johnson,0,320,Batter,0,,
Liam Dawson,England,Johnson,0,300,All-rounder,0,,
Marco Jansen,South Africa,Johnson,0,700,All-rounder,0,,
Marcus Stoinis,Australia,Johnson,0,490,All-rounder,0,,
Mark Chapman,New Zealand,Johnson,0,450,Batter,0,,
Mitchell Marsh,Australia,Johnson,0,1750,Captain/All-rounder,0,,
Mohammad Nabi,Afghanistan,Johnson,0,760,All-rounder,0,,
Rachin Ravindra,New Zealand,Johnson,0,680,All-rounder,0,,
Richie Berrington,Scotland,Johnson,0,50,Captain,0,,
Rovman Powell,West Indies,Johnson,0,430,All-rounder,0,,
Wanindu Hasaranga,Srilanka,Johnson,0,610,All-rounder,0,,
Babar Azam,Pakistan,Lalit,0,350,Batter,0,,
Bas de Leede,Netherlands,Lalit,0,110,All-rounder,0,,
Corbin Bosch,South Africa,Lalit,0,220,Bowler,0,,
David Miller,South Africa,Lalit,0,410,Batter,0,,
Devon Conway,New Zealand,Lalit,0,880,Wicket-keeper/Batter,0,,
Harmeet Singh,USA,Lalit,0,50,All-rounder,0,,
Ish Sodhi,New Zealand,Lalit,0,620,Bowler,0,,
Josh Inglis,Australia,Lalit,0,810,Wicket-keeper/Batter,0,,
Matheesha Pathirana,Srilanka,Lalit,0,430,Bowler,0,,
Quentin Sampson,West Indies,Lalit,0,100,All-rounder,0,,
Rashid Khan,Afghanistan,Lalit,0,1100,Captain/Bowler,0,,
Rinku Singh,India,Lalit,0,400,Batter,0,,
Ryan Burl,Zimbabwe,Lalit,0,100,All-rounder,0,,
Sahibzada Farhan,Pakistan,Lalit,0,100,Wicket-keeper/Batter,0,,
Sam Curran,England,Lalit,0,610,All-rounder,0,,
Shaheen Shah Afridi,Pakistan,Lalit,0,520,Bowler,0,,
Suryakumar Yadav,India,Lalit,0,3050,Captain/Batter,0,,
Brandon King,West Indies,Sanskar,0,460,Batter,0,,
Brendan Taylor,Zimbabwe,Sanskar,0,120,Batter,0,,
Cameron Green,Australia,Sanskar,0,960,All-rounder,0,,
Dasun Shanaka,Srilanka,Sanskar,0,810,Captain/ All-rounder,0,,
Fazalhaq Farooqi,Afghanistan,Sanskar,0,100,Bowler,0,,
Hardik Pandya,India,Sanskar,0,2750,All-rounder,0,,
Jamie Overton,England,Sanskar,0,710,All-rounder,0,,
Kusal Mendis,Srilanka,Sanskar,0,720,Batter,0,,
Matthew Cross,Scotland,Sanskar,0,200,Wicket-keeper,0,,
Michael Bracewell,New Zealand,Sanskar,0,200,All-rounder,0,,
Mohammad Salman Mirza,Pakistan,Sanskar,0,100,Bowler,0,,
Monank Patel,USA,Sanskar,0,310,Captain/Wicket-keeper,0,,
Noor Ahmad,Afghanistan,Sanskar,0,400,Bowler,0,,
Romario Shepherd,West Indies,Sanskar,0,400,All-rounder,0,,
Shubham Ranjane,USA,Sanskar,0,50,All-rounder,0,,
Tristan Stubbs,South Africa,Sanskar,0,520,Batter,0,,
Will Jacks,England,Sanskar,0,870,All-rounder,0,,
Blessing Muzarabani,Zimbabwe,Willy & Umesh,0,100,Bowler,0,,
Daryl Mitchell,New Zealand,Willy & Umesh,0,1000,All-rounder,0,,
Eshan Malinga,Srilanka,Willy & Umesh,0,100,Bowler,0,,
Glenn Maxwell,Australia,Willy & Umesh,0,370,All-rounder,0,,
Gudakesh Motie,West Indies,Willy & Umesh,0,100,Bowler,0,,
Ibrahim Zadran,Afghanistan,Willy & Umesh,0,600,Batter,0,,
Jasprit Bumrah,India,Willy & Umesh,0,1600,Bowler,0,,
Jofra Archer,England,Willy & Umesh,0,550,Bowler,0,,
Jos Buttler,England,Willy & Umesh,0,1800,Wicket-keeper/Batter,0,,
Josh Little,Ireland,Willy & Umesh,0,50,Bowler,0,,
Lockie Ferguson,New Zealand,Willy & Umesh,0,210,Bowler,0,,
Saurabh Netravalkar,USA,Willy & Umesh,0,120,Bowler,0,,
Shadab Khan,Pakistan,Willy & Umesh,0,390,All-rounder,0,,
Sherfane Rutherford,West Indies,Willy & Umesh,0,100,Batter,0,,
Shivam Dube,India,Willy & Umesh,0,400,All-rounder,0,,
Tim David,Australia,Willy & Umesh,0,450,Batter,0,,
Travis Head,Australia,Willy & Umesh,0,1950,Batter,0,,
Arshdeep Singh,India,Somansh,0,1550,Bowler,0,,
Cooper Connolly,Australia,Somansh,0,200,All-rounder,0,,
Dion Myers,Zimbabwe,Somansh,0,180,Batter,0,,
James Neesham,New Zealand,Somansh,0,210,All-rounder,0,,
Jayden Seales,West Indies,Somansh,0,180,Bowler,0,,
JJ Smit,Namibia,Somansh,0,70,All-rounder,0,,
Josh Hazlewood,Australia,Somansh,0,510,Bowler,0,,
Kagiso Rabada,South Africa,Somansh,0,510,Bowler,0,,
Keshav Maharaj,South Africa,Somansh,0,480,Bowler,0,,
Kyle Jamieson,New Zealand,Somansh,0,260,Bowler,0,,
Max O'Dowd,Netherlands,Somansh,0,50,Batter,0,,
Mohammad Nawaz,Pakistan,Somansh,0,560,All-rounder,0,,
Pathum Nissanka,Srilanka,Somansh,0,790,Batter,0,,
Rahmanullah Gurbaz,Afghanistan,Somansh,0,650,Wicket-keeper/Batter,0,,
Roelof van der Merwe,Netherlands,Somansh,0,220,All-rounder,0,,
Tilak Varma,India,Somansh,0,1950,Batter,0,,
Varun Chakaravarthy,India,Somansh,0,1550,Bowler,0,,
Adam Zampa,Australia,Pritam,0,1200,Bowler,0,,
Adil Rashid,England,Pritam,0,750,Bowler,0,,
Bradley Evans,Zimbabwe,Pritam,0,100,Bowler,0,,
Brandon McMullen,Scotland,Pritam,0,50,All-rounder,0,,
Charith Asalanka,Srilanka,Pritam,0,220,All-rounder,0,,
Finn Allen,New Zealand,Pritam,0,1400,Batter,0,,
Logan van Beek,Netherlands,Pritam,0,100,Bowler,0,,
Michael Jones,Scotland,Pritam,0,50,Batter,0,,
Mitchell Santner,New Zealand,Pritam,0,640,Captain/All-rounder,0,,
Paul Stirling,Ireland,Pritam,0,350,Captain/Batter,0,,
Roston Chase,West Indies,Pritam,0,800,All-rounder,0,,
Ryan Rickleton,South Africa,Pritam,0,1850,Wicket-keeper,0,,
Sanju Samson,India,Pritam,0,360,Wicket-keeper/Batter,0,,
Sediqullah Atal,Afghanistan,Pritam,0,310,Batter,0,,
Shai Hope,West Indies,Pritam,0,950,Captain/Wicket-keeper,0,,
Usman Khan,Pakistan,Pritam,0,380,Batter,0,,
Washington Sundar,India,Pritam,0,200,All-rounder,0,,
Abrar Ahmed,Pakistan,Rachita & Pritesh,0,550,Bowler,0,,
Axar Patel,India,Rachita & Pritesh,0,740,All-rounder,0,,
Dewald Brevis,South Africa,Rachita & Pritesh,0,860,Batter,0,,
George Linde,South Africa,Rachita & Pritesh,0,760,All-rounder,0,,
George Munsey,Scotland,Rachita & Pritesh,0,50,Batter,0,,
Ishan Kishan,India,Rachita & Pritesh,0,2700,Wicket-keeper/Batter,0,,
Jacob Bethell,England,Rachita & Pritesh,0,760,All-rounder,0,,
Josh Tongue,England,Rachita & Pritesh,0,200,Bowler,0,,
Maheesh Theekshana,Srilanka,Rachita & Pritesh,0,320,Bowler,0,,
Matt Henry,New Zealand,Rachita & Pritesh,0,320,Bowler,0,,
Mujeeb Ur Rahman,Afghanistan,Rachita & Pritesh,0,350,Bowler,0,,
Nathan Ellis,Australia,Rachita & Pritesh,0,480,Bowler,0,,
Salman Ali Agha,Pakistan,Rachita & Pritesh,0,670,Captain/All-rounder,0,,
Shayan Jahangir,USA,Rachita & Pritesh,0,50,Batter,0,,
Shimron Hetmyer,West Indies,Rachita & Pritesh,0,440,Batter,0,,
Tadiwanashe Marumani,Zimbabwe,Rachita & Pritesh,0,100,Batter,0,,
Tim Seifert,New Zealand,Rachita & Pritesh,0,460,Wicket-keeper,0,,
Aiden Markram,South Africa,Mahesh,0,2200,Captain/Batter,0,,
Azmatullah Omarzai,Afghanistan,Mahesh,0,550,All-rounder,0,,
Curtis Campher,Ireland,Mahesh,0,50,All-rounder,0,,
Dunith Wellalage,Srilanka,Mahesh,0,220,All-rounder,0,,
Faheem Ashraf,Pakistan,Mahesh,0,200,All-rounder,0,,
George Dockrell,Ireland,Mahesh,0,50,All-rounder,0,,
Glenn Phillips,New Zealand,Mahesh,0,600,Batter,0,,
Gulbadin Naib,Afghanistan,Mahesh,0,300,All-rounder,0,,
Jan Frylinck,Namibia,Mahesh,0,200,All-rounder,0,,
Jason Holder,West Indies,Mahesh,0,500,All-rounder,0,,
Jason Smith,South Africa,Mahesh,0,200,All-rounder,0,,
